price,total_volume,buy_volume,sell_volume,buy_value,sell_value,delta,imbalance_ratio,buy_pressure
90954.70000000,0.00400000,0.00000000,0.00400000,0.00000000,363.81920000,-0.00400000,-0.99999975,0.00000000
90954.90000000,0.02100000,0.00000000,0.02100000,0.00000000,1910.05500000,-0.02100000,-0.99999995,0.00000000
90955.10000000,0.05400000,0.00000000,0.05400000,0.00000000,4911.58060000,-0.05400000,-0.99999998,0.00000000
90955.20000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91060000,-0.00200000,-0.99999950,0.00000000
90955.30000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91080000,-0.00200000,-0.99999950,0.00000000
90955.60000000,0.02400000,0.00000000,0.02400000,0.00000000,2182.93650000,-0.02400000,-0.99999996,0.00000000
90955.70000000,0.00400000,0.00000000,0.00400000,0.00000000,363.82320000,-0.00400000,-0.99999975,0.00000000
90955.80000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91180000,-0.00200000,-0.99999950,0.00000000
90955.90000000,0.01200000,0.00000000,0.01200000,0.00000000,1091.47200000,-0.01200000,-0.99999992,0.00000000
90956.10000000,0.00300000,0.00000000,0.00300000,0.00000000,272.86860000,-0.00300000,-0.99999967,0.00000000
90956.20000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91260000,-0.00200000,-0.99999950,0.00000000
90956.60000000,0.00500000,0.00000000,0.00500000,0.00000000,454.78330000,-0.00500000,-0.99999980,0.00000000
90956.70000000,0.03900000,0.00000000,0.03900000,0.00000000,3547.31520000,-0.03900000,-0.99999997,0.00000000
90956.80000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91380000,-0.00200000,-0.99999950,0.00000000
90956.90000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91400000,-0.00200000,-0.99999950,0.00000000
90957.10000000,3.84400000,0.00000000,3.84400000,0.00000000,349639.47680000,-3.84400000,-1.00000000,0.00000000
90957.20000000,12.01500000,11.25300000,0.76200000,1023542.49690000,69309.46260000,10.49100000,0.87315855,0.93657928
90957.30000000,0.12300000,0.12300000,0.00000000,11187.76020000,0.00000000,0.12300000,0.99999999,0.99999999
90957.60000000,0.03500000,0.00300000,0.03200000,272.87280000,2910.64530000,-0.02900000,-0.82857140,0.08571428
90957.70000000,0.02700000,0.00000000,0.02700000,0.00000000,2455.86060000,-0.02700000,-0.99999996,0.00000000
90957.80000000,0.03700000,0.00000000,0.03700000,0.00000000,3365.44230000,-0.03700000,-0.99999997,0.00000000
90957.90000000,0.01700000,0.00400000,0.01300000,363.83200000,1182.45400000,-0.00900000,-0.52941173,0.23529410
90958.10000000,0.03500000,0.00300000,0.03200000,272.87430000,2910.66130000,-0.02900000,-0.82857140,0.08571428
90958.20000000,0.00600000,0.00000000,0.00600000,0.00000000,545.74980000,-0.00600000,-0.99999983,0.00000000
90958.60000000,0.02900000,0.00600000,0.02300000,545.75160000,2092.04810000,-0.01700000,-0.58620688,0.20689654
90958.70000000,0.03100000,0.02900000,0.00200000,2637.80520000,181.91760000,0.02700000,0.87096771,0.93548384
90958.80000000,0.00900000,0.00700000,0.00200000,636.71230000,181.91780000,0.00500000,0.55555549,0.77777769
90958.90000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91800000,-0.00200000,-0.99999950,0.00000000
90959.10000000,0.02000000,0.00400000,0.01600000,363.83660000,1455.34620000,-0.01200000,-0.59999997,0.19999999
90959.30000000,0.05900000,0.05900000,0.00000000,5366.60460000,0.00000000,0.05900000,0.99999998,0.99999998
