price,total_volume,buy_volume,sell_volume,buy_value,sell_value,node_type
90969.10000000,12.16300000,12.05700000,0.10600000,1096815.64380000,9642.72830000,HIGH_VOLUME_NODE
90980.60000000,13.16500000,2.32900000,10.83600000,211894.04770000,985865.78420000,HIGH_VOLUME_NODE
90982.10000000,12.69600000,0.91200000,11.78400000,82975.70310000,1072134.24000000,HIGH_VOLUME_NODE
90989.20000000,12.70500000,10.95900000,1.74600000,997151.73870000,158867.31780000,HIGH_VOLUME_NODE
90992.80000000,12.20100000,1.07900000,11.12200000,98181.33910000,1012023.03380000,HIGH_VOLUME_NODE
90999.90000000,28.17800000,7.40200000,20.77600000,673582.00000000,1890616.00000000,HIGH_VOLUME_NODE
91001.60000000,15.54000000,14.53800000,1.00200000,1322982.68810000,91183.69710000,HIGH_VOLUME_NODE
91003.30000000,13.76600000,7.99200000,5.77400000,727299.17280000,525453.63160000,HIGH_VOLUME_NODE
91011.40000000,16.65800000,16.65000000,0.00800000,1515341.47500000,728.09200000,HIGH_VOLUME_NODE
91030.10000000,24.64300000,12.30700000,12.33600000,1120308.29880000,1122947.32510000,HIGH_VOLUME_NODE
91032.60000000,14.68000000,0.86600000,13.81400000,78834.28670000,1257524.33740000,HIGH_VOLUME_NODE
91043.60000000,19.62400000,0.33600000,19.28800000,30590.65300000,1756048.96450000,HIGH_VOLUME_NODE
91073.10000000,19.98800000,19.56500000,0.42300000,1781847.15740000,38523.92310000,HIGH_VOLUME_NODE
91091.60000000,13.23800000,12.22600000,1.01200000,1113687.11520000,92184.78280000,HIGH_VOLUME_NODE
91110.40000000,15.40800000,0.09500000,15.31300000,8655.49750000,1395175.08650000,HIGH_VOLUME_NODE
91117.40000000,16.22300000,0.25100000,15.97200000,22870.49250000,1455328.71000000,HIGH_VOLUME_NODE
91118.10000000,16.89200000,1.08800000,15.80400000,99136.59530000,1440030.45970000,HIGH_VOLUME_NODE
91130.10000000,25.90100000,22.40900000,3.49200000,2042134.56910000,318226.31910000,HIGH_VOLUME_NODE
91179.90000000,14.28900000,13.64100000,0.64800000,1243786.38000000,59084.64000000,HIGH_VOLUME_NODE
91199.90000000,20.31100000,14.91500000,5.39600000,1360248.00000000,492115.20000000,HIGH_VOLUME_NODE
91208.10000000,12.47700000,12.46500000,0.01200000,1136908.97130000,1094.49800000,HIGH_VOLUME_NODE
91224.90000000,14.16500000,1.09500000,13.07000000,99891.37500000,1192310.75000000,HIGH_VOLUME_NODE
91238.60000000,14.22600000,14.17000000,0.05600000,1292850.96390000,5109.36720000,HIGH_VOLUME_NODE
91264.60000000,13.81000000,0.18700000,13.62300000,17066.48280000,1243298.96950000,HIGH_VOLUME_NODE
91268.70000000,13.51700000,13.51400000,0.00300000,1233406.56320000,273.80640000,HIGH_VOLUME_NODE
