price,total_volume,buy_volume,sell_volume,buy_value,sell_value,node_type
90954.70000000,0.00400000,0.00000000,0.00400000,0.00000000,363.81920000,LOW_VOLUME_NODE
90954.90000000,0.02100000,0.00000000,0.02100000,0.00000000,1910.05500000,LOW_VOLUME_NODE
90955.10000000,0.05400000,0.00000000,0.05400000,0.00000000,4911.58060000,LOW_VOLUME_NODE
90955.20000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91060000,LOW_VOLUME_NODE
90955.30000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91080000,LOW_VOLUME_NODE
90955.60000000,0.02400000,0.00000000,0.02400000,0.00000000,2182.93650000,LOW_VOLUME_NODE
90955.70000000,0.00400000,0.00000000,0.00400000,0.00000000,363.82320000,LOW_VOLUME_NODE
90955.80000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91180000,LOW_VOLUME_NODE
90955.90000000,0.01200000,0.00000000,0.01200000,0.00000000,1091.47200000,LOW_VOLUME_NODE
90956.10000000,0.00300000,0.00000000,0.00300000,0.00000000,272.86860000,LOW_VOLUME_NODE
90956.20000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91260000,LOW_VOLUME_NODE
90956.60000000,0.00500000,0.00000000,0.00500000,0.00000000,454.78330000,LOW_VOLUME_NODE
90956.70000000,0.03900000,0.00000000,0.03900000,0.00000000,3547.31520000,LOW_VOLUME_NODE
90956.80000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91380000,LOW_VOLUME_NODE
90956.90000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91400000,LOW_VOLUME_NODE
90957.30000000,0.12300000,0.12300000,0.00000000,11187.76020000,0.00000000,LOW_VOLUME_NODE
90957.60000000,0.03500000,0.00300000,0.03200000,272.87280000,2910.64530000,LOW_VOLUME_NODE
90957.70000000,0.02700000,0.00000000,0.02700000,0.00000000,2455.86060000,LOW_VOLUME_NODE
90957.80000000,0.03700000,0.00000000,0.03700000,0.00000000,3365.44230000,LOW_VOLUME_NODE
90957.90000000,0.01700000,0.00400000,0.01300000,363.83200000,1182.45400000,LOW_VOLUME_NODE
90958.10000000,0.03500000,0.00300000,0.03200000,272.87430000,2910.66130000,LOW_VOLUME_NODE
90958.20000000,0.00600000,0.00000000,0.00600000,0.00000000,545.74980000,LOW_VOLUME_NODE
90958.60000000,0.02900000,0.00600000,0.02300000,545.75160000,2092.04810000,LOW_VOLUME_NODE
90958.70000000,0.03100000,0.02900000,0.00200000,2637.80520000,181.91760000,LOW_VOLUME_NODE
90958.80000000,0.00900000,0.00700000,0.00200000,636.71230000,181.91780000,LOW_VOLUME_NODE
90958.90000000,0.00200000,0.00000000,0.00200000,0.00000000,181.91800000,LOW_VOLUME_NODE
90959.10000000,0.02000000,0.00400000,0.01600000,363.83660000,1455.34620000,LOW_VOLUME_NODE
90959.30000000,0.05900000,0.05900000,0.00000000,5366.60460000,0.00000000,LOW_VOLUME_NODE
90959.40000000,0.00900000,0.00000000,0.00900000,0.00000000,818.63550000,LOW_VOLUME_NODE
90959.60000000,0.05100000,0.00300000,0.04800000,272.87880000,4366.06470000,LOW_VOLUME_NODE
90959.90000000,0.19200000,0.00000000,0.19200000,0.00000000,17464.32000000,LOW_VOLUME_NODE
90960.10000000,0.13600000,0.00300000,0.13300000,272.88060000,12097.69780000,LOW_VOLUME_NODE
90960.20000000,0.00200000,0.00200000,0.00000000,181.92060000,0.00000000,LOW_VOLUME_NODE
90960.30000000,0.09300000,0.00300000,0.09000000,272.88120000,8186.43600000,LOW_VOLUME_NODE
90960.40000000,0.00300000,0.00000000,0.00300000,0.00000000,272.88150000,LOW_VOLUME_NODE
90960.60000000,0.01100000,0.00300000,0.00800000,272.88210000,727.68560000,LOW_VOLUME_NODE
90960.70000000,0.00800000,0.00000000,0.00800000,0.00000000,727.68640000,LOW_VOLUME_NODE
90960.80000000,0.00200000,0.00000000,0.00200000,0.00000000,181.92180000,LOW_VOLUME_NODE
90960.90000000,0.08800000,0.00000000,0.08800000,0.00000000,8004.56800000,LOW_VOLUME_NODE
90961.10000000,0.33900000,0.33600000,0.00300000,30562.96320000,272.88360000,LOW_VOLUME_NODE
90961.20000000,0.00600000,0.00000000,0.00600000,0.00000000,545.76780000,LOW_VOLUME_NODE
90961.30000000,0.00900000,0.00000000,0.00900000,0.00000000,818.65260000,LOW_VOLUME_NODE
90961.40000000,0.02800000,0.00000000,0.02800000,0.00000000,2546.92200000,LOW_VOLUME_NODE
90961.60000000,0.01300000,0.00000000,0.01300000,0.00000000,1182.50160000,LOW_VOLUME_NODE
90961.70000000,0.04900000,0.00200000,0.04700000,181.92360000,4275.20460000,LOW_VOLUME_NODE
90962.10000000,0.02300000,0.00000000,0.02300000,0.00000000,2092.12940000,LOW_VOLUME_NODE
90962.20000000,0.33100000,0.00000000,0.33100000,0.00000000,30108.52130000,LOW_VOLUME_NODE
90962.40000000,0.02000000,0.00200000,0.01800000,181.92500000,1637.32500000,LOW_VOLUME_NODE
90962.60000000,0.00900000,0.00000000,0.00900000,0.00000000,818.66400000,LOW_VOLUME_NODE
90962.70000000,0.00400000,0.00000000,0.00400000,0.00000000,363.85120000,LOW_VOLUME_NODE
90962.80000000,0.08400000,0.00300000,0.08100000,272.88870000,7367.99490000,LOW_VOLUME_NODE
90962.90000000,0.18100000,0.09500000,0.08600000,8641.48500000,7822.81800000,LOW_VOLUME_NODE
90963.10000000,0.14000000,0.03600000,0.10400000,3274.67470000,9460.16400000,LOW_VOLUME_NODE
90963.20000000,0.02000000,0.01600000,0.00400000,1455.41280000,363.85320000,LOW_VOLUME_NODE
90963.30000000,0.02200000,0.00600000,0.01600000,545.78040000,1455.41440000,LOW_VOLUME_NODE
